果树林|611|柑|1|2|3|4|5|12|12
果树林|612|桔|1|2|3|4|4|15|15
果树林|613|橙|1|2|3|4|5|15|15
果树林|631|桃|1|1|2|3|4|30|30
果树林|632|梨|1|3|4|6|7|35|35
果树林|616|柿子|1|3|4|6|7|30|30
果树林|617|板栗|1|1|2|6|7|50|50
果树林|618|荔枝|1|2|3|7|8|50|50
果树林|619|龙眼|1|2|3|7|8|50|50
果树林|620|柚子|1|2|3|7|8|20|20
果树林|621|芒果|1|1|2|5|6|25|25
果树林|633|李子|1|1|2|3|4|10|10
果树林|634|杨梅|1|3|4|8|9|30|30
果树林|635|杨桃|1|1|2|8|9|25|25
果树林|636|大青枣|1|1|2|3|4|15|15
果树林|637|黄皮|1|1|2|5|6|20|20
果树林|638|枣|1|2|3|8|9|40|40
果树林|639|核桃|1|4|5|10|11|50|50
果树林|640|山楂|1|2|3|8|9|30|30
果树林|641|枇杷|1|1|2|4|5|20|20
果树林|642|黑榄|1|3|4|7|8|40|40
果树林|643|黄榄|1|3|4|7|8|40|40
果树林|644|余甘子|1|2|3|4|5|30|30
果树林|645|木波罗|1|7|8|9|10|50|50
果树林|646|其它果树|1|2|3|5|6|30|30
食用林|661|油茶|1|2|3|6|7|30|30
食用林|662|茶叶|1|1|2|5|6|20|20
食用林|663|八角|1|4|5|7|8|50|50
食用林|671|茉莉花|0|0|1|1|2|5|5
食用林|672|玉兰|1|1|2|7|8|30|30
食用林|673|桂花|1|1|2|7|8|25|25
食用林|674|其它食用木|1|2|3|7|8|30|30
化工林|681|玉桂|1|3|4|6|7|50|50
化工林|682|一般化工林|1|5|6|10|11|35|35
化工林|683|橡胶|1|8|9|9|9|30|30
化工林|684|漆树|1|3|4|7|8|20|20
化工林|685|紫胶|1|2|3|4|5|30|30
化工林|686|考胶|1|3|4|7|8|25|25
化工林|687|油桐|0|10|11|15|16|20|21
化工林|688|其它化工林|1|3|4|7|8|25|25
药用林|693|黄柏|1|3|4|8|9|20|20
药用林|694|杜仲|1|3|4|6|7|20|20
药用林|695|厚朴|1|3|4|6|7|20|20
药用林|691|银杏|1|3|4|9|10|60|60
药用林|696|乌桕|1|3|4|6|7|25|25
药用林|698|黄栀子|1|1|2|4|5|20|20
药用林|699|白腊树|1|2|3|6|7|20|20
其它经济林|701|棕|1|2|3|5|6|15|15
其它经济林|702|蚕桑|0|0|1|1|2|5|5
其它经济林|703|蚕柞|1|1|2|5|6|20|20
